,Sentiment,Score,Tweet
0,Neutral,0,Movements are propelled by the rhetoric amp actions modeled and perpetuated by their leaders If tha
1,Positive,0.25,For the first time ever Action has endorsed in a presidential primary They chose Here s why
2,Neutral,0,Then don t sit there and complain on twitter We need Donate now
3,Positive,0.35,If America won t elect a woman president yet which seems evident it s up to men to help prepare it for female leadership
4,Neutral,0.151515151515152,Bernie Sanders is trying to drum up support from older voters with a new ad featuring RolandMartinUnfilt
5,Neutral,0,Kamala Harris supporters didn t attack people online Elizabeth Warren supporters didn t attack people online Joe Biden
6,Neutral,0.112121212121212,Bernie Sanders Medicare for All policy would likely increase wages and create jobs new economic analysis shows
7,Neutral,0.112121212121212,Bernie Sanders Medicare for All policy would likely increase wages and create jobs new economic analysis shows
8,Positive,0.35,If America won t elect a woman president yet which seems evident it s up to men to help prepare it for female leadership
9,Negative,-0.116666666666667,Me takes long drag on vape pen Me munches a few mushrooms Me sticks 2 tabs of acid in eye Me Bernie Sanders h
10,Positive,0.5,Yes and much more so than Bernie Sanders He s poser when it comes resisting beating up on countries who cannot re
11,Neutral,0.112121212121212,Bernie Sanders Medicare for All policy would likely increase wages and create jobs new economic analysis shows
12,Neutral,0,The man who displayed a swastika flag at a Bernie Sanders rally last night has been identified This stands in the wake of
13,Neutral,0,Bernie Sanders picked Nina Turner as a campaign co chair Here she is sup
14,Neutral,0,Earlier today Robert Sterkeson the no Nazi who unfurled a swastika flag at a Bernie Sanders rally was in control of the
15,Neutral,0,Sen Bernie Sanders cancels get out the vote rally scheduled for downtown on Monday
16,Neutral,0,
17,Neutral,0.112121212121212,Bernie Sanders Medicare for All policy would likely increase wages and create jobs new economic analysis shows
18,Neutral,0.0729166666666667,Post Super Tuesday Bernie Sanders opens himself up a little bit and holds a roundtable in Detroit Michigan The parti
19,Positive,0.285714285714286,Bernie needs money to run ads right now PLEASE DONATE TO HIM NOW
20,Positive,0.35,If America won t elect a woman president yet which seems evident it s up to men to help prepare it for female leadership
21,Neutral,0,Bernie Sanders is the reason you re not allowed to import products made with child labor or slave labor into the United
22,Neutral,0.1,Sen Elizabeth Warren went directly to Bernie Sanders amp addressed the bullying behavior of his supporters Cantankerous
23,Neutral,0,Somebody bought him another house already
24,Neutral,0,Last night a Nazi unfurled a swastika against a Jewish candidate for president Please never ever ever again lecture
25,Positive,0.8,Post Warren Poll Shows Joe Biden Taking 16 Point Lead over Sanders Nationally THIS IS GREAT CAU
26,Negative,-0.166666666666667,Dear Bernie black voters propelled Biden comeback and they re not elite or establishment Bernie Sanders is marginal
27,Positive,0.3,okay so that we re clear you believe that the attending physician for the congress of the united states
28,Positive,0.4,While I agree that the ages of Joe Biden and Bernie Sanders is cause for concern it s important to remember that Sam Ell
29,Neutral,0,why Tyler The Creator made a Bernie Sanders Loves Niggas t shirt
30,Negative,-0.4,Guess who will be receiving armed secret service protection Joe Biden amp Bernie Sanders Guess who doesn t believe you
31,Neutral,0.112121212121212,Bernie Sanders Medicare for All policy would likely increase wages and create jobs new economic analysis shows
32,Neutral,0.2,This morning I d really like the Nina Turner and Briahna Gray must be fired for tweeting C Span videos crowd on this we
33,Neutral,0,Kamala Harris supporters didn t attack people online Elizabeth Warren supporters didn t attack people online Joe Biden
34,Positive,0.3375,i just want him to win so badly i m not even fucking american and i d straight up d e for him with no hesitation bernie san
35,Positive,0.268181818181818,NEW POLL MORNING CONSULT 3 2 3 5 National Democratic Primary JOE BIDEN 54 Bernie Sanders 38 Gas Stati
36,Neutral,0,The question in this election is simple which side are you on The side of Wall Street or working people
37,Negative,-0.075,You know what fuck that This is exactly why leftists lose repeatedly Because we re pussies If Bernie Sanders lo
38,Neutral,0.112121212121212,Bernie Sanders Medicare for All policy would likely increase wages and create jobs new economic analysis shows
39,Neutral,0,Kamala Harris supporters didn t attack people online Elizabeth Warren supporters didn t attack people online Joe Biden
40,Neutral,0,The man who unfurled a Nazi flag at the Bernie Sanders rally in Arizona yesterday is Robert Sterkeson a neo Nazi who lives
41,Neutral,0,The man who unfurled a Nazi flag at the Bernie Sanders rally in Arizona yesterday is Robert Sterkeson a neo Nazi who lives
42,Neutral,0,Bernie Sanders owns 3 houses The U S population is 327 million He could have given each American 1 house and still have ho
43,Neutral,0.112121212121212,Bernie Sanders Medicare for All policy would likely increase wages and create jobs new economic analysis shows
44,Neutral,0,Earlier today Robert Sterkeson the no Nazi who unfurled a swastika flag at a Bernie Sanders rally had thousands of subsc
45,Neutral,0,The NY Times has discovered the pearl clutching possibility that Bernie Sanders was a pawn for Soviet Intelligence yea
