,Sentiment,Score,Tweet
0,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
1,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
2,Positive,0.8333333333333334,Nambia Diversary Pivittible Donald Trump has the best words but which one is the most best We created an interactiv
3,Neutral,0.0,Donald Trump and Coronavirus are inexorably linked because of your inept and negligent handling of this crisis That s yo
4,Negative,-0.3,Joe Biden I want to thank Bernie Sanders and his supporters for their tireless energy and their passion We share a common goal
5,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
6,Positive,0.5,The tweet was removed but it stated donald trump was charging more than 4 times the cost to keep his family safe T
7,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
8,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
9,Neutral,0.0,Steve Mnuchin met with a Russian Ambassador today and signed an agreement that included Implementation of the arrange
10,Neutral,0.0,Joe Biden is just diet Donald Trump
11,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
12,Neutral,0.0,Fredrick Trump which is Donald Trumps grandfather died from the Spanish Flu in 1918
13,Neutral,0.0,In Washington with just under 70 reporting President Donald J Trump currently has 516 037 votes He has received m
14,Neutral,0.0,I m doing an essay on debuncking bullshit I decided to do it on Donald Trump Jr stating that democrats want coron
15,Neutral,0.05,President Trump has given his complete and total endorsement to ex college football coach Tommy Tuberville who is se
16,Neutral,0.0,In Missouri President Donald J Trump 227 347 with 60 reporting has received three times the number of votes as
17,Positive,0.6,Even before he declared for the presidency I fought for the principles that Donald Trump so effectively advocated in the
18,Negative,-0.5,You spelled Donald J Trump wrong
19,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
20,Positive,0.25,Donald J Trump and Don Jr are the most vetted presidential candidate and son in American history Joe Biden and Hun
21,Neutral,0.08333333333333333,Joe Biden was not my first candidate he was not my second candidate and he was not my third candidate He s the ca
22,Neutral,0.0,UH Donald Trump won Biden won t So there is that
23,Positive,0.8333333333333334,Nambia Diversary Pivittible Donald Trump has the best words but which one is the most best We created an interactiv
24,Neutral,0.0,THANK YOU DONALD TRUMP
25,Negative,-0.5734126984126985,Sick sick people hard at work hoping for disease and recessions I bet even tho you re not a praying bunch that you re even
26,Positive,0.5,Imagine yelling about how people should be treated better and then making a decision that makes it easier f
27,Neutral,0.05000000000000002,President Donald J Trump presented the Medal of Freedom our nation s highest civilian honor to General Jack Keane
28,Negative,-0.26666666666666666,donald trump is only still maintaining because there are still racist people floating around acting retarded like t
29,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
30,Neutral,0.175,Like Ok joe Biden sucks but the CBP and ICE are much more likely to be restrained by a joe Biden administration t
31,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
32,Neutral,0.1875,In Mississippi with 69 reporting President Donald J Trump has received more votes than any other incumbent Preside
33,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
34,Negative,-0.2,I wanna know WHO TF IS ALLOWING DONALD TRUMP TO OPEN UP HIS MOUTH Like sir WHAT THE FUCK
35,Negative,-0.14333333333333334,I am very curious This is part1 2 of who do you hate the most in Trump family besides Donald himself This is my f
36,Neutral,0.2,Joe Biden thanks Sen Sanders supporters after projected victories in Mississippi Missouri and Michigan We share a commo
37,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
38,Positive,0.25,Donald J Trump and Don Jr are the most vetted presidential candidate and son in American history Joe Biden and Hun
39,Positive,0.8333333333333334,Nambia Diversary Pivittible Donald Trump has the best words but which one is the most best We created an interactiv
40,Neutral,0.0,donald trump
41,Negative,-0.4,Donald Trump just showed how thoroughly his head is not in the game
42,Neutral,0.046875,And if Donald Trump wins that will probably mean at least 2 more conservative judges on the Supreme Cour
43,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
44,Positive,0.6,Even before he declared for the presidency I fought for the principles that Donald Trump so effectively advocated in the
45,Negative,-0.05,BREAKING NEWS Michigan Mayor Michael Taylor a life long Republican who voted for President Donald Trump in 2016 has
46,Neutral,0.0,richard neill 11 L
47,Positive,0.4,Donald Trump sputters through a symphony of slurred words that make Joe Biden sound like Churchill during the Battle of Britain
48,Positive,0.39999999999999997,Yes Absolutely That s my president Donald J Trump and we Love To Love and he is my hero
49,Neutral,0.08333333333333333,Joe Biden was not my first candidate he was not my second candidate and he was not my third candidate He s the ca
50,Neutral,0.0,In Washington with just under 70 reporting President Donald J Trump currently has 516 037 votes He has received m
51,Neutral,0.0,This campaign is all about you and together we re going to go all the way to the White House Chip in what you can to defeat
52,Neutral,0.0,Donald Trump Bernie Sanders Jim Adler the texas hammer
53,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
54,Positive,0.2857142857142857,To my friends and supporters who support I was a Bernie supporter in 2016 and believe he is right in diagno
55,Neutral,0.1875,In Michigan with 47 reporting President Donald J Trump has received more votes than any other incumbent President
56,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
57,Neutral,0.0,Civilians and medical workers being targeted by the Russian backed Syrian government Babies dying in their parents ar
58,Positive,0.4,Donald Trump sputters through a symphony of slurred words that make Joe Biden sound like Churchill during the Battle of Britain
59,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
60,Neutral,0.0,Joe Biden just graciously thanked Bernie Sanders and his supporters for their tireless energy and passion saying Together
61,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
62,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
63,Neutral,0.16666666666666669,In Missouri with less than 50 of precincts reporting President Donald J Trump has received more votes than every i
64,Neutral,0.0,Remember when ppl were telling us Yang was a Progressive and were pissy when we rightfully called him a libertarian
65,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
66,Neutral,0.2,Donald Trump ISN T going to restrict immigration He wants immigrants to come LEGALLY in the highest numbers ever Tha
67,Neutral,0.0,What would happen if Donald Trump got coronavirus
68,Neutral,0.0,Donald Trump talked about temporarily suspending federal payroll taxes to help stimulate the market and economy over the
69,Positive,0.6,Even before he declared for the presidency I fought for the principles that Donald Trump so effectively advocated in the
70,Negative,-0.9,I just heard a horrifying story about why we didn t amp don t have tests for the virus amp in
71,Negative,-0.35,America is on the verge of a pandemic because Donald Trump was too incompetent to handle a virus that everyone knew wa
72,Neutral,0.14285714285714285,Former Democratic presidential nominee Andrew Yang has endorsed Joe Biden calling him the right man for the job to help us not j
73,Negative,-0.3,I want to thank Bernie Sanders and his campaign for their tireless energy and their passion We share a common goal A
74,Positive,0.35714285714285715,Donald Trump was the right man at the right time to make America a better place than it had ever been before MY PRESI
75,Positive,0.4,Donald Trump sputters through a symphony of slurred words that make Joe Biden sound like Churchill during the Battle of Britain
76,Neutral,0.0,In Missouri President Donald J Trump 227 347 with 60 reporting has received three times the number of votes as
77,Neutral,0.005681818181818177,Biden and Bernie will debate without a live audience due to the coronavirus concerns Meanwhile Donald What Virus
78,Positive,0.6,Even before he declared for the presidency I fought for the principles that Donald Trump so effectively advocated in the
79,Neutral,0.0,Donald Trump has catastrophic meltdown after Joe Biden locks up the Democratic nomination
80,Positive,0.2875,The Yang I fell in love with in early 2019 thanks to Sam Harris JRE was a true visionary who seemed
81,Neutral,0.0,In Washington with just under 70 reporting President Donald J Trump currently has 516 037 votes He has received m
82,Negative,-0.7999999999999999,Meghan McCain goes off on Donald Trump for being so stupid about the coronavirus
83,Neutral,0.0,Andrew Yang I hereby am endorsing Joe Biden The math says Joe is our prohibitive nominee We need to bring the party toge
84,Negative,-0.15,Former vice president says his rival and himself share a common goal to defeat the US leader FMTNews JoeBiden Sanders ht
85,Positive,0.21666666666666665,Alex Azar Health amp Human Services Secretary says Donald Trump has Delivered a Historically strong ECONOMY He s is l
86,Positive,0.4,WATCH reacts to Joe Biden s projected victory in Michigan s Democratic primary Donald Trump got himself impe
87,Neutral,0.19999999999999998,What was s favorite game as a child Mary Trump He played Monopoly but more than Monopoly he played
88,Neutral,0.0,Joe Biden is going to be the Democratic nominee It s time for the Party to come together and focus on beating Donald Tru
89,Negative,-0.08055555555555556,Time to move on to the general We have a big fight on our hands but with everyone working hard and pulling together
90,Neutral,0.13636363636363635,If Donald Trump announced two new national holidays the opening Thursday and Friday of the NCAA Tournament amp told people t
91,Neutral,0.0,Joe Biden just graciously thanked Bernie Sanders and his supporters for their tireless energy and passion saying Together
92,Negative,-0.4,In the history of presidential politics I have never seen anything like the energy that has galvanized behind Joe Biden
93,Negative,-0.45,Just add unfortunately Donald Trump is worse
94,Negative,-0.041666666666666664,Genuinely curious if there will be any strategy for this guy to earn the vote of young people other than I m not Donald
95,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
96,Neutral,0.0,Look we just have irreconcilable differences and that happens Sometimes you have to let go of an abusive relationship
97,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
98,Negative,-0.05000000000000002,Donald Trump s day so far Incoherent meltdown about Michigan Makes up word automobils Sounds like he has rabies
99,Neutral,0.0,Andrew Yang I hereby am endorsing Joe Biden The math says Joe is our prohibitive nominee We need to bring the party toge
100,Negative,-0.08055555555555556,Time to move on to the general We have a big fight on our hands but with everyone working hard and pulling together
101,Positive,0.35714285714285715,Donald Trump was the right man at the right time to make America a better place than it had ever been before MY PRESI
102,Neutral,0.1875,In Mississippi with 69 reporting President Donald J Trump has received more votes than any other incumbent Preside
103,Positive,0.35,The only really good thing that can happen is that Donald Trump is removed from power
104,Negative,-0.8,Donald Trump the Chosen One King of the Morons Donald Trump the Chosen One King of the Morons
105,Positive,0.25,Donald J Trump and Don Jr are the most vetted presidential candidate and son in American history Joe Biden and Hun
106,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
107,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
108,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
109,Neutral,0.0,Congratulations to Donald Trump on his reelection tonight
110,Neutral,0.0,In Missouri President Donald J Trump 227 347 with 60 reporting has received three times the number of votes as
111,Neutral,0.0,Lets retweet this until something is done Trump Campaign Chief Is Funneling Pay To Eric Trump s Wife Don Jr s
112,Neutral,0.1875,In Michigan with 47 reporting President Donald J Trump has received more votes than any other incumbent
113,Positive,0.6,Even before he declared for the presidency I fought for the principles that Donald Trump so effectively advocated in the
114,Neutral,0.0,Andrew Yang I hereby am endorsing Joe Biden The math says Joe is our prohibitive nominee We need to bring the party toge
115,Positive,0.45,Tonight made one thing clear We re building the campaign that will win this nomination and defeat Donald Trump If you re
116,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
117,Negative,-0.08055555555555556,Time to move on to the general We have a big fight on our hands but with everyone working hard and pulling together
118,Neutral,0.0,Joe Biden I want to thank Bernie Sanders and his supporters for their tireless energy and their passion We share a com
