,Sentiment,Score,Tweet
0,Neutral,0.125,Why is this not bigger news UPDATE Bill Barr Indicts 8 Including Mueller Top Witness for Funneling Millions in Foreign
1,Neutral,0.2,If you really cared about beating Trump you d do two things 1 Vote Biden in November 2 Admit Hillary Clinton lost 2016 b
2,Neutral,0.0,I d rather have someone we can push than Orange Glo just like I d rather have had Hillary than this
3,Neutral,0.0,hillary clinton was a mass murderer and all of her supporters are shitty people
4,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
5,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
6,Negative,-0.125,After tonight Joe Biden will likely be the Democrat nominee for President Between Hunter and James Biden s shady and
7,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
8,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
9,Neutral,0.0,Hillary Clinton lost by 79 833 votes in 2016 Just like 2016 Democrats are going to LoseWithBiden
10,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
11,Neutral,0.0,I can t help thinking about this Biden isn t that much different from Hillary Clinton on the issues Big difference she
12,Negative,-0.033333333333333326,joe biden has hillary clinton s awful policy record combined with trump s obvious senility absolutely incredible to wat
13,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
14,Neutral,0.0,The American people are fed up with the two tiered justice system in America especially when it comes to the Biden fa
15,Neutral,0.0,Hillary Clinton is not above the law yet she has a record of contempt for the rule of law Our leaders are bound by the
16,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
17,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
18,Neutral,0.0,I can t help thinking about this Biden isn t that much different from Hillary Clinton on the issues Big difference she
19,Neutral,0.007142857142857131,her baggage mattered Clinton fatigue she didn t even go to certain states because she got cocky and to
20,Neutral,0.0,FYI Hillary Clinton delivered the keynote address at the meeting of the Group of Friends of Women i
21,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
22,Neutral,0.0,I d like to think Hillary Clinton is somewhere tonight sipping a glass of child cum and saying simply Told you
23,Neutral,0.0666666666666667,I can t believe the Dems are actually nominating Joe fucking Biden lol They may as well have just run Hillary Clinton
24,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
25,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
26,Positive,0.4,Will definitely go to bed happy knowing that Joe Biden has been nominated I fervently hope that Bernie Sanders joins Joe i
27,Neutral,0.19999999999999998,But Hillary Goddamn Rodham Clinton beat the shit out of Bernie She won the popular vote Stop staring at your na
28,Positive,0.4,Will definitely go to bed happy knowing that Joe Biden has been nominated I fervently hope that Bernie Sanders joins Joe i
29,Positive,0.4,Will definitely go to bed happy knowing that Joe Biden has been nominated I fervently hope that Bernie Sanders joins Joe i
30,Positive,0.8,I m allowed to be happy that Biden is wining and still pissed as hell at what misogyny did to Hillary Clinton in 2016
31,Positive,0.4666666666666667,Joe Biden won many areas in Michigan on Tuesday that Bernie Sanders carried easily against Hillary Clinton in 2016 O
32,Neutral,0.0,I think everyone has figured out the plan Hillary as VP and 6 mos to 1 yr Biden can t continue and Hilla
33,Neutral,0.0,MAGA friend of mine was like They re stealing it from Bernie again Me If a candidate can t beat Hillary Clinton or Jo
34,Neutral,0.0,MAGA friend of mine was like They re stealing it from Bernie again Me If a candidate can t beat Hillary Clinton or Jo
35,Neutral,0.0,Hillary Clinton and Joe Biden
36,Neutral,0.0,Say whaaa t Does Clinton remember how life in the White House for GeorgeWashington AbrahamLincoln or FDRoose
37,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
38,Neutral,0.2,There has been a pernicious lie told about Bernie Sanders since 2016 that he is somehow responsible for Hillary Clinton
39,Negative,-0.16666666666666666,Where are Hillary Clinton s text messages uncovered the hidden Clinton emails and now we ve uncovered that S
40,Neutral,0.0,There will always be a Trump to threaten you with that s how liberals destroyed working
41,Neutral,0.0,The American people are fed up with the two tiered justice system in America especially when it comes to the Biden fa
42,Neutral,0.0,Hillary Clinton Would Have Won in 2016 If Hulu Docuseries Came Out Before Election Former Aide Sputnik Internat
43,Neutral,0.0,TIME 100 WOMEN OF THE YEAR 2013 Patrisse Cullors Alicia Garza and Opal Tometi 2014 Beyonc Knowles Carter 2015 Angela
44,Positive,0.35833333333333334,ONLY nominees who win with YOUNG VOTERS in the primary go on to win the general Hillary Bernie Sanders Obama Kerry How
45,Neutral,0.0,Hillary Clinton is not above the law yet she has a record of contempt for the rule of law Our leaders are bound by the
46,Negative,-0.125,After tonight Joe Biden will likely be the Democrat nominee for President Between Hunter and James Biden s shady and
47,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
48,Neutral,0.0,I can t help thinking about this Biden isn t that much different from Hillary Clinton on the issues Big difference she
49,Negative,-0.033333333333333326,joe biden has hillary clinton s awful policy record combined with trump s obvious senility absolutely incredible to wat
50,Positive,0.4,Will definitely go to bed happy knowing that Joe Biden has been nominated I fervently hope that Bernie Sanders joins Joe i
51,Negative,-0.09523809523809523,It is a sad inevitability that about a third of Sanders support in 2016 turned out to purely consist of people who
52,Neutral,0.1,With Joe Biden over performing Hillary Clinton in Missouri and Michigan by what looks to be considerable margins we a
53,Neutral,0.0,Hillary Clinton is not above the law yet she has a record of contempt for the rule of law Our leaders are bound by the
54,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
55,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
56,Neutral,0.061111111111111116,Are any of the lazy political pundits going to point out that Hillary Clinton would have won easily if she embraced Bernie
57,Negative,-0.28888888888888886,Too late The party elite got Biden locked in They all got behind him Betting odd sit
58,Positive,0.5,Ladies and Genlemen I give you Hillary Clinton The most investigated innocent person in America UNTIL proven g
59,Negative,-0.1625,And we could have had Hillary Clinton leading our response to it but you and a few other people in the m
60,Negative,-0.5,vids who imaginary hillary clinton is talking to or what she told them is unspecified here because it is irrelevant the importa
61,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
62,Positive,0.4666666666666667,Joe Biden won many areas in Michigan on Tuesday that Bernie Sanders carried easily against Hillary Clinton in 2016 One reason
63,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
64,Positive,0.4,Hillary Clinton walking into a working class persons home is still the funniest most powerful image I ve seen
65,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
66,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
67,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
68,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
69,Positive,0.4,Will definitely go to bed happy knowing that Joe Biden has been nominated I fervently hope that Bernie Sanders joins Joe i
70,Neutral,0.0,I d rather have someone we can push than Orange Glo just like I d rather have had Hillary than this
71,Neutral,0.15000000000000002,the People7 No thanks NotMeUs is still here The primary isn t over And I would never vote for Biden I
72,Positive,0.4,Will definitely go to bed happy knowing that Joe Biden has been nominated I fervently hope that Bernie Sanders joins Joe i
73,Positive,0.4,Will definitely go to bed happy knowing that Joe Biden has been nominated I fervently hope that Bernie Sanders joins Joe i
74,Positive,0.4666666666666667,Joe Biden won many areas in Michigan on Tuesday that Bernie Sanders carried easily against Hillary Clinton in 2016 O
75,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
76,Positive,0.6,In the upcoming docuseries Hillary said nobody liked Sanders or wanted to work with him that he got nothing done
77,Neutral,0.0,Court rules Hillary Clinton must testify Court rules Cheryl Mills must testify Court authorizes subpoena to Google over Cl
78,Positive,0.4,Hillary Clinton Takes Shot At Melania Trump IF YOU THINK HILLARY IS A WASHED UP POLITICIAN FILLED WITH NO CLASS
79,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
80,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
81,Neutral,0.2,I really don t want to be petty tonight because I know the sting of losing but how did
82,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
83,Negative,-0.1125,As a friend of mine has said Joe Biden spent years building relationships with other members of the Senate Unfortu
84,Neutral,0.0,I d rather have someone we can push than Orange Glo just like I d rather have had Hillary than this
85,Neutral,0.0,JOE Biden has revealed to a talk show host amp public his heart isn t there to vie for POTUS but JOE LIED similar to JEB
86,Neutral,0.0,Biden is conservative in fact if not in name We re going
87,Negative,-0.5,It s times like these when you realize how awful a candidate Hillary Clinton was that she could only hold off Bernie wi
88,Negative,-0.125,After tonight Joe Biden will likely be the Democrat nominee for President Between Hunter and James Biden s shady and
89,Neutral,0.0,Hillary Clinton is not above the law yet she has a record of contempt for the rule of law Our leaders are bound by the
90,Neutral,0.0,That s what they said about Hillary Clinton And John Kerry
91,Neutral,0.0,Remember When Hillary Clinton Asked China To Look Into Trumps Tax Returns She did this on national television This need
92,Neutral,0.125,Exactly Just look at Arkansas history when she didn t change her last name to Clinton when
93,Negative,-0.125,After tonight Joe Biden will likely be the Democrat nominee for President Between Hunter and James Biden s shady and
94,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
95,Neutral,0.0,I d rather have someone we can push than Orange Glo just like I d rather have had Hillary than this
96,Negative,-0.15555555555555556,People really disliked Hillary Clinton and all professional Dem were actively in denial about this fact Tough to reach an
97,Neutral,0.0,MAGA friend of mine was like They re stealing it from Bernie again Me If a candidate can t beat Hillary Clinton or Jo
98,Positive,0.26666666666666666,One thing is proven tonight with tremendous finality 25 years of demonizing Hillary Rodham Clinton really worked in
99,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
100,Positive,0.5,Yeah I m sure Hillary Clinton will not be remembered for anything Also I love how y all are making this about Sanders It
